Associated_Codes,Cash_Discount_Price_Price,DeIdentified_Max_Allowed,Deidentified_Min_Allowed,description,Gross_Charge,iobSelection,payer,Payer_Allowed_Amount
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Exclusive Provider Organization (EPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Indemnity Insurance,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Medicaid,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Point of Service (POS),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Aetna Preferred Provider Organization (PPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Indemnity Insurance,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Medicaid,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Point of Service (POS),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Anthem BCBS Preferred Provider Organization (PPO),307.8600
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Exclusive Provider Organization (EPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Indemnity Insurance,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Point of Service (POS),1328.7000
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Cigna Preferred Provider Organization (PPO),N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Colorado Access Medicaid,266.0600
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Denver Health Medical Plan Health Maintenance Organization,185.4200
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Denver Health Medical Plan Medicare Advantage,489.7300
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Humana Health Maintenance Organization,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Humana Medicaid,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Humana Medicare Advantage,N/A
10160,449.5300,1328.7000,185.4200,Puncture of Blood or Fluid Under Skin Using Needle,1284.3700,Outpatient,Humana Point of Service (POS),N/A
