"Procedure
 Code",Rate Type Description,Rate Type,Modifier 1,Modifier 2,Modifier 3,Modifier 4,Min Age,Max Age,Post Op Days,Total Allowable Amount 07.2022,Relative Value,Prior Authorization Needed,Notes,TRI Indicator
00100,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00102,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00103,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00104,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00120,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00124,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00000,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00140,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00142,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00144,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00145,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00147,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00148,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00160,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00162,Anesthesia,C03,,,,,0,999,0, $27.80 ,7.0,,,
00164,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00170,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00172,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00174,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00176,Anesthesia,C03,,,,,0,999,0, $27.80 ,7.0,,,
00190,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00192,Anesthesia,C03,,,,,0,999,0, $27.80 ,7.0,,,
00210,Anesthesia,C03,,,,,0,999,0, $27.80 ,11.0,,,
00211,Anesthesia,C03,,,,,0,999,0, $27.80 ,9.0,,,
00212,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00214,Anesthesia,C03,,,,,0,999,0, $27.80 ,9.0,,,
00215,Anesthesia,C03,,,,,0,999,0, $27.80 ,9.0,,,
00216,Anesthesia,C03,,,,,0,999,0, $27.80 ,15.0,,,
00218,Anesthesia,C03,,,,,0,999,0, $27.80 ,13.0,,,
00220,Anesthesia,C03,,,,,0,999,0, $27.80 ,10.0,,,
00222,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00300,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00320,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00322,Anesthesia,C03,,,,,0,999,0, $27.80 ,3.0,,,
00326,Anesthesia,C03,,,,,0,0,0, $27.80 ,10.0,,,
00350,Anesthesia,C03,,,,,0,999,0, $27.80 ,10.0,,,
00352,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00400,Anesthesia,C03,,,,,0,999,0, $27.80 ,3.0,,,
00402,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00404,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00406,Anesthesia,C03,,,,,0,999,0, $27.80 ,13.0,,,
00410,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00450,Anesthesia,C03,,,,,0,999,0, $27.80 ,5.0,,,
00454,Anesthesia,C03,,,,,0,999,0, $27.80 ,3.0,,,
00470,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00472,Anesthesia,C03,,,,,0,999,0, $27.80 ,10.0,,,
00474,Anesthesia,C03,,,,,0,999,0, $27.80 ,13.0,,,
00500,Anesthesia,C03,,,,,0,999,0, $27.80 ,15.0,,,
00520,Anesthesia,C03,,,,,0,999,0, $27.80 ,6.0,,,
00522,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00524,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00528,Anesthesia,C03,,,,,0,999,0, $27.80 ,8.0,,,
00529,Anesthesia,C03,,,,,0,999,0, $27.80 ,11.0,,,
00530,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
00532,Anesthesia,C03,,,,,0,999,0, $27.80 ,4.0,,,
